step,loss,acc,eos_acc,gnorm,lr,n_tok,noise_p
285,2.275653839111328,0.3851153552532196,0.1875,1.9609375,0.0005995542837479086,10924,0.08519999999999998
286,2.6618146896362305,0.30468234419822693,0.375,2.90625,0.0005995436110412652,9098,0.08549999999999999
287,2.2212917804718018,0.42236587405204773,0.125,1.8203125,0.000599532812161496,7735,0.08579999999999999
288,2.5267767906188965,0.3162984549999237,0.4375,1.8984375,0.0005995218871132271,11995,0.0861
289,2.3659040927886963,0.45661628246307373,0.1875,5.125,0.0005995108359011383,9658,0.08639999999999999
290,2.4208877086639404,0.33593085408210754,0.25,1.953125,0.0005994996585299636,8213,0.08669999999999999
291,2.212263345718384,0.3724749982357025,0.5,1.6171875,0.0005994883550044911,10594,0.087
292,2.0125467777252197,0.5094600319862366,0.25,1.9140625,0.0005994769253295628,7241,0.08729999999999999
293,1.898074746131897,0.4551565647125244,0.6875,1.578125,0.0005994653695100749,23058,0.0876
294,2.284884452819824,0.3625098168849945,0.375,1.984375,0.0005994536875509774,6375,0.08789999999999999
295,2.319066286087036,0.4006197452545166,0.0,3.140625,0.0005994418794572747,4518,0.08819999999999999
296,2.7692618370056152,0.2601179778575897,0.1875,2.125,0.0005994299452340248,7289,0.0885
297,2.0910286903381348,0.3892194628715515,0.1875,1.7734375,0.0005994178848863401,17142,0.08879999999999999
298,2.3885838985443115,0.3110472559928894,0.5625,1.890625,0.0005994056984193867,11487,0.0891
299,2.08091139793396,0.4477749764919281,0.125,1.578125,0.0005993933858383849,7573,0.0894
