track,r1_f1,r2_f1,d_f1,r1_p,r2_p,r1_r,r2_r,p_effect,r_effect,r1_offset_f1,r2_offset_f1,r1_n_pred,r2_n_pred,n_gt,r1_ratio,r2_ratio,r1_trunc,r2_trunc,r1_bnd,r2_bnd,r1_switches,r2_switches,d_switches,r1_inst_f1,r2_inst_f1,duration_s,gt_density_per_s,gt_polyphony_mean,gt_drum_share,gt_median_duration_s
Track02049,0.022660157897908758,0.06176713459950455,0.0391069767015958,0.026330532212885154,0.04174573055028463,0.019887866285835186,0.11869247857822914,0.011474025432731093,0.027632951268864697,0.022178026878804318,0.059510046793283776,7140,26877,9453,0.7553157727705491,2.8432243732148526,0,0,0,0,12,10,-2,0.022660157897908758,0.06176713459950455,195.91,49.551816323321276,2.993350221659278,0.22003596741775097,0.12000000000000455
Track02052,0.043330024599715154,0.03886729594669628,-0.004462728653018874,0.02833116993058299,0.04925415142133408,0.09207630227439471,0.03209831254585473,0.014808884957730166,-0.01927161361074904,0.023391308100643046,0.020655191560244306,17719,3553,5452,3.25,0.6516874541452677,0,0,0,0,9,5,-4,0.043330024599715154,0.03886729594669628,229.67,24.353419395184705,2.9390835579514825,0.33492296404988997,0.15000000000000036
Track02053,0.00046344571892017143,0.011148679521155077,0.010685233802234906,0.00043931905546403075,0.02189519023689878,0.000490376363859262,0.007478239548853746,0.005407308422259216,0.00527792537997569,0.0,0.011148679521155077,9105,2786,8157,1.116219198234645,0.341547137427976,38,0,36,0,7,1,-6,0.00046344571892017143,0.011148679521155077,296.01,28.330786329535986,1.933854907539118,0.40198602427363,0.10999999999998522
Track02061,0.0,0.0010239906377998828,0.0010239906377998828,0.0,0.000979020979020979,0.0,0.0010732904017172647,0.0005119953188999414,0.0005119953188999414,0.0,0.0008777062609713282,7930,7150,6522,1.2158846979454154,1.0962894817540632,40,1,37,0,14,11,-3,0.0,0.0010239906377998828,318.91,21.210445868158313,1.9486106961458023,0.12833486660533577,0.37000000000000455
Track02063,0.004709718322615705,0.021365960555149745,0.016656242232534042,0.004461987300497683,0.02039037992331823,0.004986574606827772,0.02243958573072497,0.008612926453703793,0.008043315778830247,0.004347432297799113,0.021183345507669833,5827,5738,5214,1.1175680859225163,1.1004986574606828,0,0,0,0,3,9,6,0.004709718322615705,0.021365960555149745,365.32,15.057179161372302,2.3862700228832954,0.2614115841963943,0.27000000000001023
Track02070,0.021573033707865168,0.011570726063060458,-0.01000230764480471,0.013917525773195877,0.016604400166044003,0.04794672586015538,0.008879023307436182,0.0019113842971510541,-0.011913691941955764,0.00739076154806492,0.011570726063060458,15520,2409,4505,3.4450610432852384,0.534739178690344,14,0,9,0,17,1,-16,0.021573033707865168,0.011570726063060458,259.56,18.53451822595244,2.7825818406423717,0.3946725860155383,0.21000000000000796
Track02074,0.0001429286071607232,0.028988271192905504,0.028845342585744782,0.00015634771732332708,0.05259515570934256,0.00013163090693694878,0.02000789785441622,0.01439883814460756,0.014446504441137223,0.0,0.028988271192905504,6396,2890,7597,0.8419112807687245,0.380413321047782,39,0,37,0,5,2,-3,0.0001429286071607232,0.028988271192905504,299.53,25.98864258347017,3.5466853408029877,0.4571541397920232,0.060000000000002274
Track02083,0.012929641202456633,0.0094749309119621,-0.0034547102904945327,0.009726049602852975,0.012282497441146366,0.019280205655526992,0.007712082262210797,0.0014740747981074487,-0.004928785088601981,0.0010774701002047194,0.0007895775759968416,6169,1954,3112,1.9823264781491003,0.627892030848329,20,0,16,0,11,10,-1,0.012929641202456633,0.0094749309119621,160.87,20.74804986999133,1.8568019093078758,0.37467866323907456,0.29999999999999716
Track02086,0.0,0.05294775076837105,0.05294775076837105,0.0,0.04727454159910191,0.0,0.060168280679472934,0.026473875384185525,0.026473875384185525,0.0,0.05029337803855825,5798,8017,6299,0.9204635656453405,1.272741705032545,40,0,38,0,6,0,-6,0.0,0.05294775076837105,295.64,21.895095415203865,2.4264252696456086,0.5053183044927766,0.08000000000004093
Track02087,0.03228397044651462,0.040035429583702396,0.007751459137187777,0.024260712130356066,0.07645466847090664,0.0482361411087113,0.027117830573554116,0.020646997186864174,-0.012895538049676396,0.0,0.0,8285,1478,4167,1.9882409407247421,0.3546916246700264,9,0,7,0,11,4,-7,0.03228397044651462,0.040035429583702396,238.83,17.845824411134902,5.893917963224894,0.21214302855771539,0.3299999999999983
Track02088,0.01816886355539722,0.016256032512065026,-0.0019128310433321957,0.01358309659090909,0.027874564459930314,0.027429186088203657,0.011473646468268197,0.006648836687067646,-0.008561667730399842,0.015081344258401614,0.015240030480060958,11264,2296,5578,2.0193617784152025,0.41161706704912154,14,0,12,0,8,5,-3,0.01816886355539722,0.016256032512065026,228.95,26.433513411051088,2.152836742570436,0.302438149874507,0.15000000000000568
Track02092,0.02118603076327755,0.03163781624500666,0.01045178548172911,0.01415002907540221,0.021873619089703932,0.042139695978449104,0.05714835482008851,0.008283419979051862,0.0021683655026772473,0.02118603076327755,0.005752330226364847,15477,13578,5197,2.9780642678468348,2.6126611506638446,0,0,0,0,1,1,0,0.02118603076327755,0.03163781624500666,212.8,25.486734343582953,2.0804643714971975,0.27304213969597846,0.25
Track02098,0.013457408732999285,0.03963011889035666,0.02617271015735738,0.007760898282694848,0.024910047052311098,0.05059203444564048,0.0968783638320775,0.022592660351983866,0.003580049805373511,0.0002863278453829635,0.0004403346543372963,6056,3613,929,6.518837459634015,3.8891280947255114,0,0,0,0,1,3,2,0.013457408732999285,0.03963011889035666,78.61,12.6566757493188,4.444976076555024,0.3218514531754575,0.3999999999999986
