track,mode,category,value
Track01895,reset,tp_drum,372
Track01895,reset,miss_drum,638
Track01895,reset,fp_drum,2644
Track01895,reset,tp_pitched,44
Track01895,reset,tp_pitched_offset_ok,11
Track01895,reset,tp_pitched_offset_short,27
Track01895,reset,tp_pitched_offset_long,6
Track01895,reset,mean_offset_delta_ticks_pitched,-10.4545
Track01895,reset,mean_duration_ratio_pitched,2.09815
Track01895,reset,precision,0.0381022
Track01895,reset,recall,0.0872117
Track01895,reset,f1,0.0530342
Track01895,reset,mean_onset_delta_ticks,2.28606
Track01895,reset,mean_offset_delta_ticks,-1.36779
Track01895,reset,mean_duration_ratio,0.960283
Track01897,continuous,n_gt,3399
Track01897,continuous,n_pred,3421
Track01897,continuous,tp_onset,122
Track01897,continuous,tp_offset_ok,91
Track01897,continuous,tp_offset_short,28
Track01897,continuous,tp_offset_long,3
Track01897,continuous,miss_timing_near,369
Track01897,continuous,miss_same_pitch_far,221
Track01897,continuous,miss_octave,7
Track01897,continuous,miss_program_swap,17
Track01897,continuous,miss_no_candidate,2663
Track01897,continuous,fp_timing,3299
Track01897,continuous,fp_octave,0
Track01897,continuous,fp_program_swap,0
Track01897,continuous,fp_spurious_near,0
Track01897,continuous,fp_spurious_far,0
Track01897,continuous,gt_drum,593
Track01897,continuous,pred_drum,1432
Track01897,continuous,tp_drum,86
Track01897,continuous,miss_drum,507
Track01897,continuous,fp_drum,1346
Track01897,continuous,tp_pitched,36
Track01897,continuous,tp_pitched_offset_ok,5
Track01897,continuous,tp_pitched_offset_short,28
Track01897,continuous,tp_pitched_offset_long,3
Track01897,continuous,mean_offset_delta_ticks_pitched,-20.8056
Track01897,continuous,mean_duration_ratio_pitched,0.708937
Track01897,continuous,precision,0.0356621
Track01897,continuous,recall,0.0358929
Track01897,continuous,f1,0.0357771
Track01897,continuous,mean_onset_delta_ticks,2.64754
Track01897,continuous,mean_offset_delta_ticks,-7.01639
Track01897,continuous,mean_duration_ratio,0.529612
Track01897,reset,n_gt,3399
Track01897,reset,n_pred,17275
Track01897,reset,tp_onset,251
Track01897,reset,tp_offset_ok,165
Track01897,reset,tp_offset_short,85
Track01897,reset,tp_offset_long,1
Track01897,reset,miss_timing_near,223
Track01897,reset,miss_same_pitch_far,1390
Track01897,reset,miss_octave,19
Track01897,reset,miss_program_swap,15
Track01897,reset,miss_no_candidate,1501
Track01897,reset,fp_timing,14764
Track01897,reset,fp_octave,7
Track01897,reset,fp_program_swap,6
Track01897,reset,fp_spurious_near,2159
Track01897,reset,fp_spurious_far,88
Track01897,reset,gt_drum,593
Track01897,reset,pred_drum,5096
Track01897,reset,tp_drum,151
Track01897,reset,miss_drum,442
Track01897,reset,fp_drum,4945
Track01897,reset,tp_pitched,100
Track01897,reset,tp_pitched_offset_ok,14
Track01897,reset,tp_pitched_offset_short,85
Track01897,reset,tp_pitched_offset_long,1
Track01897,reset,mean_offset_delta_ticks_pitched,-42.75
Track01897,reset,mean_duration_ratio_pitched,0.376383
Track01897,reset,precision,0.0145297
Track01897,reset,recall,0.0738452
Track01897,reset,f1,0.0242817
Track01897,reset,mean_onset_delta_ticks,2.4741
Track01897,reset,mean_offset_delta_ticks,-18.0319
Track01897,reset,mean_duration_ratio,0.451625
Track01901,continuous,n_gt,5781
Track01901,continuous,n_pred,2164
Track01901,continuous,tp_onset,14
Track01901,continuous,tp_offset_ok,1
Track01901,continuous,tp_offset_short,13
Track01901,continuous,tp_offset_long,0
Track01901,continuous,miss_timing_near,132
Track01901,continuous,miss_same_pitch_far,512
Track01901,continuous,miss_octave,0
Track01901,continuous,miss_program_swap,4
Track01901,continuous,miss_no_candidate,5119
Track01901,continuous,fp_timing,386
Track01901,continuous,fp_octave,10
Track01901,continuous,fp_program_swap,4
Track01901,continuous,fp_spurious_near,1705
Track01901,continuous,fp_spurious_far,45
Track01901,continuous,gt_drum,1520
Track01901,continuous,pred_drum,879
Track01901,continuous,tp_drum,14
Track01901,continuous,miss_drum,1506
Track01901,continuous,fp_drum,865
Track01901,continuous,tp_pitched,0
Track01901,continuous,tp_pitched_offset_ok,0
Track01901,continuous,tp_pitched_offset_short,0
Track01901,continuous,tp_pitched_offset_long,0
Track01901,continuous,mean_offset_delta_ticks_pitched,nan
Track01901,continuous,mean_duration_ratio_pitched,nan
Track01901,continuous,precision,0.0064695
Track01901,continuous,recall,0.00242173
Track01901,continuous,f1,0.00352423
Track01901,continuous,mean_onset_delta_ticks,2.21429
Track01901,continuous,mean_offset_delta_ticks,-14.4286
Track01901,continuous,mean_duration_ratio,0.0729746
Track01901,reset,n_gt,5781
Track01901,reset,n_pred,17909
Track01901,reset,tp_onset,138
Track01901,reset,tp_offset_ok,11
Track01901,reset,tp_offset_short,122
Track01901,reset,tp_offset_long,5
Track01901,reset,miss_timing_near,200
Track01901,reset,miss_same_pitch_far,1796
Track01901,reset,miss_octave,68
Track01901,reset,miss_program_swap,30
Track01901,reset,miss_no_candidate,3549
Track01901,reset,fp_timing,7806
Track01901,reset,fp_octave,57
Track01901,reset,fp_program_swap,39
Track01901,reset,fp_spurious_near,9823
Track01901,reset,fp_spurious_far,46
Track01901,reset,gt_drum,1520
Track01901,reset,pred_drum,5806
Track01901,reset,tp_drum,24
Track01901,reset,miss_drum,1496
Track01901,reset,fp_drum,5782
Track01901,reset,tp_pitched,114
Track01901,reset,tp_pitched_offset_ok,11
Track01901,reset,tp_pitched_offset_short,98
Track01901,reset,tp_pitched_offset_long,5
Track01901,reset,mean_offset_delta_ticks_pitched,-33.1228
Track01901,reset,mean_duration_ratio_pitched,0.781614
Track01901,reset,precision,0.00770562
Track01901,reset,recall,0.0238713
Track01901,reset,f1,0.0116505
Track01901,reset,mean_onset_delta_ticks,2.35507
Track01901,reset,mean_offset_delta_ticks,-34.3768
Track01901,reset,mean_duration_ratio,0.6501
Track01902,continuous,n_gt,5503
Track01902,continuous,n_pred,2405
Track01902,continuous,tp_onset,29
Track01902,continuous,tp_offset_ok,0
Track01902,continuous,tp_offset_short,29
Track01902,continuous,tp_offset_long,0
Track01902,continuous,miss_timing_near,155
Track01902,continuous,miss_same_pitch_far,49
Track01902,continuous,miss_octave,0
Track01902,continuous,miss_program_swap,0
Track01902,continuous,miss_no_candidate,5270
Track01902,continuous,fp_timing,1289
Track01902,continuous,fp_octave,0
Track01902,continuous,fp_program_swap,0
Track01902,continuous,fp_spurious_near,997
Track01902,continuous,fp_spurious_far,90
Track01902,continuous,gt_drum,1157
Track01902,continuous,pred_drum,1376
Track01902,continuous,tp_drum,29
Track01902,continuous,miss_drum,1128
Track01902,continuous,fp_drum,1347
Track01902,continuous,tp_pitched,0
Track01902,continuous,tp_pitched_offset_ok,0
Track01902,continuous,tp_pitched_offset_short,0
Track01902,continuous,tp_pitched_offset_long,0
Track01902,continuous,mean_offset_delta_ticks_pitched,nan
Track01902,continuous,mean_duration_ratio_pitched,nan
Track01902,continuous,precision,0.0120582
Track01902,continuous,recall,0.00526985
Track01902,continuous,f1,0.00733434
Track01902,continuous,mean_onset_delta_ticks,2.65517
Track01902,continuous,mean_offset_delta_ticks,-34
Track01902,continuous,mean_duration_ratio,0.0335549
Track01902,reset,n_gt,5503
Track01902,reset,n_pred,21003
Track01902,reset,tp_onset,356
Track01902,reset,tp_offset_ok,95
Track01902,reset,tp_offset_short,249
Track01902,reset,tp_offset_long,12
Track01902,reset,miss_timing_near,342
Track01902,reset,miss_same_pitch_far,1897
Track01902,reset,miss_octave,42
Track01902,reset,miss_program_swap,16
Track01902,reset,miss_no_candidate,2850
Track01902,reset,fp_timing,11147
Track01902,reset,fp_octave,46
Track01902,reset,fp_program_swap,35
Track01902,reset,fp_spurious_near,8728
Track01902,reset,fp_spurious_far,691
Track01902,reset,gt_drum,1157
Track01902,reset,pred_drum,4310
Track01902,reset,tp_drum,60
Track01902,reset,miss_drum,1097
Track01902,reset,fp_drum,4250
Track01902,reset,tp_pitched,296
Track01902,reset,tp_pitched_offset_ok,95
Track01902,reset,tp_pitched_offset_short,189
Track01902,reset,tp_pitched_offset_long,12
Track01902,reset,mean_offset_delta_ticks_pitched,-16.8885
Track01902,reset,mean_duration_ratio_pitched,0.575056
Track01902,reset,precision,0.01695
Track01902,reset,recall,0.064692
Track01902,reset,f1,0.0268618
Track01902,reset,mean_onset_delta_ticks,2.20787
Track01902,reset,mean_offset_delta_ticks,-19.8399
Track01902,reset,mean_duration_ratio,0.484664
Track01903,continuous,n_gt,6181
Track01903,continuous,n_pred,9464
Track01903,continuous,tp_onset,474
Track01903,continuous,tp_offset_ok,452
Track01903,continuous,tp_offset_short,22
Track01903,continuous,tp_offset_long,0
Track01903,continuous,miss_timing_near,484
Track01903,continuous,miss_same_pitch_far,0
Track01903,continuous,miss_octave,13
Track01903,continuous,miss_program_swap,15
Track01903,continuous,miss_no_candidate,5195
Track01903,continuous,fp_timing,3040
Track01903,continuous,fp_octave,16
Track01903,continuous,fp_program_swap,12
Track01903,continuous,fp_spurious_near,5714
Track01903,continuous,fp_spurious_far,208
Track01903,continuous,gt_drum,1465
Track01903,continuous,pred_drum,4809
Track01903,continuous,tp_drum,440
Track01903,continuous,miss_drum,1025
Track01903,continuous,fp_drum,4369
Track01903,continuous,tp_pitched,34
Track01903,continuous,tp_pitched_offset_ok,12
Track01903,continuous,tp_pitched_offset_short,22
Track01903,continuous,tp_pitched_offset_long,0
Track01903,continuous,mean_offset_delta_ticks_pitched,-26
Track01903,continuous,mean_duration_ratio_pitched,0.4602
Track01903,continuous,precision,0.0500845
Track01903,continuous,recall,0.0766866
Track01903,continuous,f1,0.0605944
Track01903,continuous,mean_onset_delta_ticks,2.63924
Track01903,continuous,mean_offset_delta_ticks,-2.36076
Track01903,continuous,mean_duration_ratio,0.629721
Track01903,reset,n_gt,6181
Track01903,reset,n_pred,19307
Track01903,reset,tp_onset,721
Track01903,reset,tp_offset_ok,439
Track01903,reset,tp_offset_short,276
Track01903,reset,tp_offset_long,6
Track01903,reset,miss_timing_near,550
Track01903,reset,miss_same_pitch_far,1206
Track01903,reset,miss_octave,69
Track01903,reset,miss_program_swap,18
Track01903,reset,miss_no_candidate,3617
Track01903,reset,fp_timing,8305
Track01903,reset,fp_octave,66
Track01903,reset,fp_program_swap,21
Track01903,reset,fp_spurious_near,10023
Track01903,reset,fp_spurious_far,171
Track01903,reset,gt_drum,1465
Track01903,reset,pred_drum,4685
Track01903,reset,tp_drum,353
Track01903,reset,miss_drum,1112
Track01903,reset,fp_drum,4332
Track01903,reset,tp_pitched,368
Track01903,reset,tp_pitched_offset_ok,86
Track01903,reset,tp_pitched_offset_short,276
Track01903,reset,tp_pitched_offset_long,6
Track01903,reset,mean_offset_delta_ticks_pitched,-13.8016
