track,mode,official_matched,recomputed_matched,official_f1,recomputed_f1,official_n_pred,recomputed_n_pred,official_n_gt,recomputed_n_gt,official_offset_matched,recomputed_offset_matched,official_inst_matched,recomputed_inst_matched
Track02047,reset,628,978,0.027609856894770392,0.04299751599217427,33354,33354,12137,12137,592,915,628,978
Track02048,continuous,55,43,0.011323862466543133,0.008853201564751905,1498,1498,8216,8216,55,43,55,43
Track02048,reset,21,95,0.0023553162853297443,0.010655002243158367,9616,9616,8216,8216,18,83,21,95
Track02049,continuous,1122,1194,0.06176713459950455,0.0657308009909166,26877,26877,9453,9453,1081,1148,1122,1194
Track02049,reset,429,605,0.029153924566768602,0.04111450900441726,19977,19977,9453,9453,349,477,429,605
Track02052,continuous,175,266,0.03886729594669628,0.059078289838978344,3553,3553,5452,5452,93,148,175,266
Track02052,reset,256,367,0.02188782489740082,0.031378248974008205,17940,17940,5452,5452,106,161,256,367
Track02053,continuous,61,70,0.011148679521155077,0.01279356666362058,2786,2786,8157,8157,61,70,61,70
Track02053,reset,309,558,0.023728162795162218,0.04284891533883663,17888,17888,8157,8157,290,531,309,558
Track02061,continuous,7,41,0.0010239906377998828,0.005997659449970743,7150,7150,6522,6522,6,39,7,41
Track02061,reset,157,193,0.0101908347397118,0.012527586654550175,24290,24290,6522,6522,107,125,157,193
Track02063,continuous,117,244,0.021365960555149745,0.04455807158509861,5738,5738,5214,5214,116,241,117,244
Track02063,reset,402,451,0.02050915769603592,0.02300903015152288,33988,33988,5214,5214,374,418,402,451
Track02070,continuous,40,66,0.011570726063060458,0.019091698004049754,2409,2409,4505,4505,40,66,40,66
Track02070,reset,202,267,0.017802062219088744,0.023530448576716313,18189,18189,4505,4505,197,256,202,267
Track02074,continuous,152,168,0.028988271192905504,0.032039668160579765,2890,2890,7597,7597,152,168,152,168
Track02074,reset,518,705,0.029961247035687436,0.04077737289606108,26981,26981,7597,7597,508,680,518,705
Track02083,continuous,24,40,0.0094749309119621,0.015791551519936834,1954,1954,3112,3112,2,3,24,40
Track02083,reset,100,169,0.014145271942853102,0.02390550958342174,11027,11027,3112,3112,31,83,100,169
Track02086,continuous,379,523,0.05294775076837105,0.07306510198379436,8017,8017,6299,6299,360,491,379,523
Track02086,reset,475,698,0.04337107377647918,0.06373265157048941,15605,15605,6299,6299,396,596,475,698
Track02087,continuous,113,85,0.040035429583702396,0.030115146147032774,1478,1478,4167,4167,0,0,113,85
Track02087,reset,175,288,0.029266661092064557,0.048164562254369096,7792,7792,4167,4167,2,5,175,288
Track02088,continuous,64,92,0.016256032512065026,0.02336804673609347,2296,2296,5578,5578,60,72,64,92
Track02088,reset,188,291,0.017537313432835818,0.0271455223880597,15862,15862,5578,5578,156,253,188,291
Track02092,continuous,297,340,0.03163781624500666,0.036218375499334224,13578,13578,5197,5197,54,63,297,340
Track02092,reset,156,188,0.011953107041606006,0.014405026434755958,20905,20905,5197,5197,155,184,156,188
Track02098,continuous,90,97,0.03963011889035666,0.04271246147071774,3613,3613,929,929,1,1,90,97
Track02098,reset,100,118,0.037418147801683815,0.044153414405986906,4416,4416,929,929,0,0,100,118
