track,unit,class,chunk_len,pos,orig_tok,new_tok,notes_before,notes_after,notes_lost,notes_added,damage
Track01876,3,program,596,551,1161,1239,101,101,0,0,0
Track01876,3,program,596,306,1137,1199,101,101,1,1,2
Track01876,3,pitch,596,135,1089,1080,101,101,0,0,0
Track01876,3,pitch,596,72,1065,1123,101,101,1,1,2
Track01876,3,pitch,596,500,1074,1019,101,101,1,1,2
Track01876,3,pitch,596,459,1063,1018,101,101,1,1,2
Track01876,3,pitch,596,422,1077,1015,101,101,1,1,2
Track01876,3,pitch,596,283,1082,1088,101,101,0,0,0
Track01876,3,shift,596,430,385,422,101,101,0,0,0
Track01876,3,shift,596,548,458,778,101,100,1,0,1
Track01876,3,shift,596,136,143,675,101,101,0,0,0
Track01876,3,shift,596,430,385,336,101,101,0,0,0
Track01876,3,shift,596,434,386,902,101,101,0,0,0
Track01876,3,shift,596,482,417,766,101,101,0,0,0
Track01876,3,velocity,596,381,1133,1132,101,100,1,0,1
Track01876,3,velocity,596,181,1133,1132,101,100,1,0,1
Track01876,3,velocity,596,468,1133,1132,101,100,1,0,1
Track01876,3,velocity,596,234,1133,1132,101,100,1,0,1
Track01876,3,velocity,596,321,1133,1132,101,100,1,0,1
Track01876,3,velocity,596,207,1132,1133,101,102,0,1,1
Track01876,3,drum,596,161,1308,1285,101,101,1,1,2
Track01876,3,drum,596,587,1307,1283,101,101,1,1,2
Track01876,3,drum,596,56,1307,1384,101,101,1,1,2
Track01876,3,drum,596,324,1301,1321,101,101,1,1,2
Track01876,3,drum,596,389,1311,1314,101,101,1,1,2
Track01876,3,drum,596,74,1301,1358,101,101,1,1,2
Track02047,0,program,880,142,1137,1207,160,160,4,4,8
Track02047,0,program,880,832,1168,1256,160,160,1,1,2
Track02047,0,program,880,349,1135,1236,160,160,0,0,0
Track02047,0,program,880,544,1168,1197,160,160,0,0,0
Track02047,0,program,880,105,1135,1184,160,160,1,1,2
Track02047,0,program,880,571,1168,1263,160,160,1,1,2
Track02047,0,pitch,880,2,1063,1096,160,160,0,0,0
Track02047,0,pitch,880,728,1037,1125,160,160,0,0,0
Track02047,0,pitch,880,354,1070,1019,160,160,0,0,0
Track02047,0,pitch,880,228,1066,1113,160,160,0,0,0
Track02047,0,pitch,880,758,1059,1085,160,160,1,1,2
Track02047,0,pitch,880,96,1061,1019,160,160,0,0,0
Track02047,0,shift,880,422,235,592,160,160,0,0,0
Track02047,0,shift,880,38,34,690,160,159,1,0,1
Track02047,0,shift,880,483,258,15,160,160,0,0,0
Track02047,0,shift,880,93,87,458,160,160,0,0,0
Track02047,0,shift,880,640,334,829,160,160,0,0,0
Track02047,0,shift,880,380,220,299,160,160,1,1,2
Track02047,0,velocity,880,850,1132,1133,160,161,0,1,1
Track02047,0,velocity,880,405,1132,1133,160,161,0,1,1
Track02047,0,velocity,880,284,1132,1133,160,161,0,1,1
Track02047,0,velocity,880,388,1133,1132,160,159,1,0,1
Track02047,0,velocity,880,27,1133,1132,160,159,1,0,1
Track02047,0,velocity,880,274,1132,1133,160,161,0,1,1
Track02047,0,drum,880,488,1307,1382,160,160,1,1,2
Track02047,0,drum,880,734,1307,1365,160,160,1,1,2
Track02047,0,drum,880,517,1307,1279,160,160,1,1,2
Track02047,0,drum,880,337,1307,1392,160,160,1,1,2
Track02047,0,drum,880,37,1301,1377,160,160,1,1,2
Track02047,0,drum,880,722,1301,1302,160,160,1,1,2
Track02047,1,program,896,679,1161,1243,167,167,3,3,6
Track02047,1,program,896,13,1161,1148,167,167,0,0,0
Track02047,1,program,896,544,1135,1264,167,167,0,0,0
Track02047,1,program,896,7,1161,1221,167,167,0,0,0
Track02047,1,program,896,137,1168,1219,167,167,1,1,2
